millis,id,ax,ay,az,gx,gy,gz,mx,my,mz
3845,2,-0.131007,0.492323,10.010972,0.028711,0.037263,-0.013897,4.033908,30.882781,0.131541
3891,2,-0.105882,0.452842,10.02533,-0.009468,0.031612,-0.017257,3.756212,30.897399,0.0
3937,2,0.0,0.0,0.0,0.034514,0.005192,0.045051,4.033908,30.868165,0.116925
3982,2,0.0,0.0,0.0,0.022907,0.000305,-0.018479,4.633148,38.965217,0.716165
4027,2,0.0,0.0,0.0,0.012217,0.002443,-0.023671,4.866998,39.389068,0.409237
4072,2,-0.119641,0.34995,10.162917,0.027031,0.039554,-0.018173,4.866998,39.21368,1.110786
4119,2,-0.190229,0.34337,10.186246,0.023671,0.034208,-0.019242,4.837767,38.892139,1.154633
4165,2,-0.035294,0.381057,9.917054,0.019853,0.036805,-0.018479,4.048524,31.131246,0.131541
4211,2,-0.088534,0.38345,10.071392,0.022755,0.035888,-0.01741,3.814674,31.145864,0.131541
4256,2,0.440279,-0.623929,10.323236,0.013439,0.041539,0.066126,4.574686,39.11137,0.760012
4302,2,-0.904487,1.698904,9.898509,0.01237,0.043982,0.058185,4.238527,38.862903,-0.073078
4348,2,0.0,0.0,0.0,0.019548,0.002443,-0.018631,4.09237,38.848289,0.409237
4394,2,-0.101097,0.394218,10.202996,0.046884,0.038485,-0.024129,4.399299,38.395206,0.029231
4440,2,-0.119641,0.437288,9.994222,0.021533,0.038943,-0.024435,4.296989,39.038291,0.745396
4485,2,-0.107677,0.416351,10.07857,0.030696,0.036805,-0.018631,3.814674,31.131246,0.0
4531,2,-0.065204,0.375673,10.043874,0.005345,0.035125,-0.019548,3.756212,30.049694,0.0
4577,2,-0.096909,0.386441,9.875778,0.005498,0.005192,-0.017104,4.282373,38.965217,0.0
4623,2,0.0,0.0,0.0,0.03207,0.0,-0.020922,4.238527,38.804443,-0.59924
4668,2,0.0,0.0,0.0,0.029932,0.005192,-0.023518,4.530839,38.424438,0.394621
4714,2,-0.141177,0.599402,10.189835,0.024893,0.034819,-0.105222,4.370067,38.672904,0.409237
4761,2,-0.111864,0.40678,10.043874,0.013592,0.036346,-0.017715,4.282373,38.599822,-0.043847
4807,2,-0.097508,0.457029,9.973285,-0.000916,0.036346,-0.017257,4.355452,38.789825,0.979246
4853,2,-0.121436,0.458824,10.052846,0.038485,0.039401,-0.017715,4.866998,38.906753,-0.219234
4898,2,-0.210568,0.756132,10.29811,0.024893,0.036346,-0.052687,4.647764,39.082138,0.175387
4944,2,-0.017946,0.171087,10.0014,0.028253,0.03543,-0.026573,4.589301,38.848289,0.540777
4990,2,-0.102293,0.405583,10.066606,0.008858,0.037263,-0.01741,4.720842,38.453666,0.760012
5036,2,-0.112463,0.406182,10.046865,0.011148,0.035125,-0.020006,4.808536,39.023677,0.029231
5082,2,-0.118445,0.454636,10.014561,0.023366,0.036499,-0.021075,5.173926,38.395206,-0.292312
5127,2,-0.151346,0.534796,10.079169,0.041386,0.03879,-0.016952,4.457761,39.023677,0.321543
5173,2,-0.065204,0.439681,9.839287,0.032529,0.042302,-0.017562,4.735457,38.950599,0.716165
5219,2,-0.125623,0.432503,10.060026,0.016493,0.036041,-0.016952,5.334697,39.155216,0.979246
5265,2,0.0,0.0,0.0,0.017104,0.002443,-0.018631,4.969307,38.526744,0.292312
5310,2,0.0,0.0,0.0,0.021991,0.000305,-0.016493,5.232388,38.848289,0.423853
5357,2,-0.128016,0.762114,9.8351,0.047495,0.037874,-0.019395,5.276235,38.672904,0.438468
5403,2,-0.112463,0.412762,10.110275,0.015272,0.037263,-0.020311,5.203157,38.541362,0.789243
5448,2,-0.105882,0.44327,10.016955,0.014355,0.036957,-0.015424,4.910845,39.052909,1.096171
5494,2,-0.080758,0.384646,9.990633,0.027184,0.039095,-0.020922,4.910845,38.804443,0.292312
5540,2,-0.108275,0.433101,10.019348,0.019853,0.041081,-0.018784,4.399299,38.409824,0.847705
5586,2,-0.091525,0.431306,10.00858,0.018479,0.040623,-0.01741,4.457761,38.965217,0.350775
5632,2,-0.11007,0.446261,9.979267,0.010843,0.039554,-0.020311,4.647764,38.555976,-0.555393
5678,2,0.0,0.0,0.0,0.012523,0.007636,-0.02138,4.282373,38.716747,0.058462
5723,2,-0.039482,0.269193,10.091731,0.011454,0.034972,-0.017257,4.501607,38.994445,-0.175387
5769,2,-0.128614,0.4666,10.218549,0.021533,0.033903,-0.019548,4.779304,39.169834,0.643087
5815,2,-0.096909,0.438485,9.974482,0.018479,0.03711,-0.020006,4.370067,39.038291,-0.613856
5861,2,-0.053839,0.562911,10.032507,0.026114,0.037721,-0.017104,4.545454,38.789825,-0.277697
5906,2,0.06999,0.36012,9.786046,0.016035,0.032681,-0.018479,4.516223,38.848289,0.146156
