millis,id,ax,ay,az,gx,gy,gz,mx,my,mz
4308,1,-0.114257,0.373280,10.035499,0.026114,0.037263,-0.020006,4.486992,38.804443,0.876937
4308,2,-0.107677,0.381655,10.023535,0.026573,0.040012,-0.018173,4.516223,38.862903,0.818474
4354,1,-0.129212,0.347558,10.019348,0.022297,0.040470,-0.019548,4.209296,38.935981,0.555393
4354,2,-0.129811,0.372084,10.024132,0.025198,0.074220,-0.020922,4.223911,38.848289,1.081555
4400,1,-0.136989,0.361914,10.022936,0.023671,0.038332,-0.019242,4.764689,39.082138,1.900029
4400,2,-0.120838,0.360120,10.003195,0.019090,0.040164,-0.020159,4.399299,39.213680,0.774627
4446,1,-0.128614,0.363111,9.970294,0.021838,0.041386,-0.018326,4.545454,39.199062,1.607717
4446,2,-0.119641,0.362513,10.034302,0.024282,0.039554,-0.023518,4.823151,39.389068,0.643087
4493,1,-0.142373,0.358923,10.004392,0.021991,0.041997,-0.019395,4.866998,39.213680,1.183864
4493,2,-0.117248,0.353540,10.128819,0.026573,0.037721,-0.021075,4.326220,38.512130,0.365390
4538,1,-0.122034,0.366102,10.126426,0.021838,0.038026,-0.020922,4.545454,39.009059,0.803858
4538,2,-0.125025,0.378066,9.917653,0.021838,0.039401,-0.019548,4.779304,39.228294,1.096171
4584,1,-0.108873,0.375075,9.966107,0.021686,0.039554,-0.018631,4.019292,39.418296,1.213096
4584,2,-0.122034,0.347558,10.104291,0.020617,0.035430,-0.018937,4.150833,39.272140,1.140017
4630,1,-0.125025,0.363111,10.021739,0.021686,0.036652,-0.017562,4.209296,39.330604,1.256942
4630,2,-0.113061,0.364307,10.028919,0.021991,0.038332,-0.017868,4.311605,39.228294,1.490792
